Voici les carrés des entiers dans l'ordre décroissante:
55: 3025
54: 2916
53: 2809
52: 2704
51: 2601
50: 2500
49: 2401
48: 2304
47: 2209
46: 2116
45: 2025
44: 1936
43: 1849
42: 1764
41: 1681
40: 1600
39: 1521
38: 1444
37: 1369
36: 1296
35: 1225
34: 1156
33: 1089
32: 1024
31: 961
30: 900
29: 841
28: 784
27: 729
26: 676
25: 625
24: 576
23: 529
22: 484
21: 441
20: 400
19: 361
18: 324
17: 289
16: 256
15: 225
14: 196
13: 169
12: 144
11: 121
10: 100
9: 81
8: 64
7: 49
6: 36
5: 25
4: 16
3: 9
2: 4
1: 1
0: 0
